Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date","Last Trade","Imp Vol","20D His Vol"
$SPX|20211105|4370.00WC,$SPX,"4,370.00",-0.30%,84.80,85.35,85.90,84.65,-13.14,-13.44%,263,0,0.00,17.48%,Call,35,11/05/21,10/01/21,17.24%,13.46%
$SPX|20211105|4375.00WC,$SPX,"4,375.00",-0.41%,81.70,82.30,82.90,88.30,-1.66,-1.85%,10,0,0.00,17.34%,Call,35,11/05/21,10/01/21,17.24%,13.46%
$SPX|20211105|4380.00WC,$SPX,"4,380.00",-0.53%,78.60,79.20,79.80,78.50,-19.62,-20.00%,220,0,0.00,17.17%,Call,35,11/05/21,10/01/21,17.24%,13.46%
$SPX|20211105|4385.00WC,$SPX,"4,385.00",-0.64%,75.60,76.15,76.70,75.15,-19.77,-20.83%,12,0,0.00,17.01%,Call,35,11/05/21,10/01/21,17.24%,13.46%
$SPX|20211105|4390.00WC,$SPX,"4,390.00",-0.76%,72.70,73.25,73.80,55.40,-77.75,-58.39%,6,0,0.00,16.87%,Call,35,11/05/21,10/01/21,17.24%,13.46%
$SPX|20211105|4395.00WC,$SPX,"4,395.00",-0.87%,69.70,70.30,70.90,63.30,-21.43,-25.29%,10,0,0.00,16.71%,Call,35,11/05/21,09/30/21,17.24%,13.46%
$SPX|20211105|4400.00WC,$SPX,"4,400.00",-0.99%,66.90,67.45,68.00,66.40,1.90,+2.95%,821,0,0.00,16.56%,Call,35,11/05/21,10/01/21,17.24%,13.46%
$SPX|20211105|4405.00WC,$SPX,"4,405.00",-1.10%,64.10,64.60,65.10,63.50,-19.78,-23.75%,13,0,0.00,16.39%,Call,35,11/05/21,10/01/21,17.24%,13.46%
$SPX|20211105|4310.00WP,$SPX,"4,310.00",-1.08%,80.90,81.50,82.10,81.50,-8.97,-9.91%,44,0,0.00,18.89%,Put,35,11/05/21,10/01/21,17.24%,13.46%
$SPX|20211105|4315.00WP,$SPX,"4,315.00",-0.96%,82.50,83.05,83.60,82.58,82.58,unch,24,0,0.00,18.67%,Put,35,11/05/21,10/01/21,17.24%,13.46%
$SPX|20211105|4320.00WP,$SPX,"4,320.00",-0.85%,83.90,84.50,85.10,94.30,0.88,+0.94%,81,0,0.00,18.60%,Put,35,11/05/21,10/01/21,17.24%,13.46%
$SPX|20211105|4325.00WP,$SPX,"4,325.00",-0.74%,85.50,86.05,86.60,86.56,-7.37,-7.85%,52,0,0.00,18.55%,Put,35,11/05/21,10/01/21,17.24%,13.46%
$SPX|20211105|4330.00WP,$SPX,"4,330.00",-0.62%,87.10,87.65,88.20,92.70,2.59,+2.87%,19,0,0.00,18.31%,Put,35,11/05/21,10/01/21,17.24%,13.46%
$SPX|20211105|4335.00WP,$SPX,"4,335.00",-0.51%,88.70,89.25,89.80,90.90,-21.64,-19.23%,7,0,0.00,18.16%,Put,35,11/05/21,10/01/21,17.24%,13.46%
$SPX|20211105|4340.00WP,$SPX,"4,340.00",-0.39%,90.30,90.85,91.40,95.30,-3.33,-3.38%,50,0,0.00,18.00%,Put,35,11/05/21,10/01/21,17.24%,13.46%
$SPX|20211105|4345.00WP,$SPX,"4,345.00",-0.28%,91.90,92.50,93.10,88.88,-12.95,-12.72%,30,0,0.00,17.85%,Put,35,11/05/21,10/01/21,17.24%,13.46%
$SPX|20211105|4350.00WP,$SPX,"4,350.00",-0.16%,93.70,94.20,94.70,90.58,-18.49,-16.95%,"1,599",0,0.00,17.70%,Put,35,11/05/21,10/01/21,17.24%,13.46%
$SPX|20211105|4355.00WP,$SPX,"4,355.00",-0.05%,95.40,96.00,96.60,98.75,-9.50,-8.78%,1,0,0.00,17.56%,Put,35,11/05/21,09/30/21,17.24%,13.46%
$SPX|20211105|4360.00WP,$SPX,"4,360.00",+0.07%,97.10,97.70,98.30,96.55,-5.37,-5.27%,39,0,0.00,17.39%,Put,35,11/05/21,10/01/21,17.24%,13.46%
$SPX|20211105|4365.00WP,$SPX,"4,365.00",+0.18%,99.00,99.60,100.20,102.79,-2.02,-1.93%,2,0,0.00,17.25%,Put,35,11/05/21,09/30/21,17.24%,13.46%
$SPX|20211105|4370.00WP,$SPX,"4,370.00",+0.30%,100.80,101.40,102.00,102.80,5.46,+5.61%,57,0,0.00,17.08%,Put,35,11/05/21,10/01/21,17.24%,13.46%
$SPX|20211105|4375.00WP,$SPX,"4,375.00",+0.41%,102.70,103.30,103.90,99.10,-34.30,-25.71%,22,0,0.00,16.93%,Put,35,11/05/21,10/01/21,17.24%,13.46%
$SPX|20211105|4380.00WP,$SPX,"4,380.00",+0.53%,104.70,105.25,105.80,119.12,12.83,+12.07%,24,0,0.00,16.78%,Put,35,11/05/21,10/01/21,17.24%,13.46%
$SPX|20211105|4385.00WP,$SPX,"4,385.00",+0.64%,106.50,107.15,107.80,138.04,138.04,unch,4,0,0.00,16.60%,Put,35,11/05/21,09/30/21,17.24%,13.46%
$SPX|20211105|4390.00WP,$SPX,"4,390.00",+0.76%,108.70,109.25,109.80,108.89,-16.16,-12.92%,6,0,0.00,16.39%,Put,35,11/05/21,10/01/21,17.24%,13.46%
$SPX|20211105|4395.00WP,$SPX,"4,395.00",+0.87%,110.70,111.30,111.90,119.68,-3.94,-3.19%,20,0,0.00,16.30%,Put,35,11/05/21,09/29/21,17.24%,13.46%
$SPX|20211105|4400.00WP,$SPX,"4,400.00",+0.99%,112.90,113.45,114.00,120.80,11.89,+10.92%,19,0,0.00,16.14%,Put,35,11/05/21,10/01/21,17.24%,13.46%
$SPX|20211105|4405.00WP,$SPX,"4,405.00",+1.10%,114.90,115.55,116.20,75.90,75.90,unch,14,0,0.00,15.97%,Put,35,11/05/21,09/27/21,17.24%,13.46%
"Downloaded from Barchart.com as of 10-02-2021 07:05am CDT"
